Zeitstempel:                     Temperatur:
Fri Sep 29 13:59:26 CEST 2023    30.75
Fri Sep 29 13:59:27 CEST 2023    30.75
Fri Sep 29 13:59:27 CEST 2023    30.75
Fri Sep 29 13:59:27 CEST 2023    30.75
Fri Sep 29 13:59:27 CEST 2023    30.75
Fri Sep 29 13:59:28 CEST 2023    31.00
Fri Sep 29 13:59:28 CEST 2023    31.00
Fri Sep 29 13:59:28 CEST 2023    31.00
Fri Sep 29 13:59:28 CEST 2023    31.00
Fri Sep 29 13:59:28 CEST 2023    31.00
Fri Sep 29 13:59:29 CEST 2023    31.00
Fri Sep 29 13:59:29 CEST 2023    31.00
Fri Sep 29 13:59:29 CEST 2023    31.00
Fri Sep 29 13:59:29 CEST 2023    31.00
Fri Sep 29 13:59:30 CEST 2023    31.00
Fri Sep 29 13:59:30 CEST 2023    31.00
Fri Sep 29 13:59:30 CEST 2023    31.00
Fri Sep 29 13:59:30 CEST 2023    31.00
Fri Sep 29 13:59:31 CEST 2023    31.25
Fri Sep 29 13:59:31 CEST 2023    31.25
Fri Sep 29 13:59:31 CEST 2023    31.25
Fri Sep 29 13:59:31 CEST 2023    31.25
Fri Sep 29 13:59:32 CEST 2023    31.25
Fri Sep 29 13:59:32 CEST 2023    31.25
Fri Sep 29 13:59:32 CEST 2023    31.50
Fri Sep 29 13:59:32 CEST 2023    31.50
Fri Sep 29 13:59:33 CEST 2023    31.50
Fri Sep 29 13:59:33 CEST 2023    31.50
Fri Sep 29 13:59:33 CEST 2023    31.50
Fri Sep 29 13:59:33 CEST 2023    31.50
Fri Sep 29 13:59:33 CEST 2023    31.50
Fri Sep 29 13:59:34 CEST 2023    31.50
Fri Sep 29 13:59:34 CEST 2023    31.50
Fri Sep 29 13:59:34 CEST 2023    31.50
Fri Sep 29 13:59:34 CEST 2023    31.50
Fri Sep 29 13:59:35 CEST 2023    31.50
Fri Sep 29 13:59:35 CEST 2023    31.50
Fri Sep 29 13:59:35 CEST 2023    31.50
Fri Sep 29 13:59:35 CEST 2023    31.75
Fri Sep 29 13:59:36 CEST 2023    31.75
Fri Sep 29 13:59:36 CEST 2023    31.75
Fri Sep 29 13:59:36 CEST 2023    31.75
Fri Sep 29 13:59:36 CEST 2023    31.75
Fri Sep 29 13:59:37 CEST 2023    31.75
Fri Sep 29 13:59:37 CEST 2023    31.75
Fri Sep 29 13:59:37 CEST 2023    31.75
Fri Sep 29 13:59:37 CEST 2023    31.75
Fri Sep 29 13:59:38 CEST 2023    32.00
Fri Sep 29 13:59:38 CEST 2023    32.00
Fri Sep 29 13:59:38 CEST 2023    32.00
Fri Sep 29 13:59:38 CEST 2023    32.00
Fri Sep 29 13:59:38 CEST 2023    32.00
Fri Sep 29 13:59:39 CEST 2023    32.00
Fri Sep 29 13:59:39 CEST 2023    32.00
Fri Sep 29 13:59:39 CEST 2023    32.00
Fri Sep 29 13:59:39 CEST 2023    32.00
Fri Sep 29 13:59:40 CEST 2023    32.00
Fri Sep 29 13:59:40 CEST 2023    32.00
Fri Sep 29 13:59:40 CEST 2023    32.00
Fri Sep 29 13:59:40 CEST 2023    32.00
Fri Sep 29 13:59:41 CEST 2023    32.00
Fri Sep 29 13:59:41 CEST 2023    32.00
Fri Sep 29 13:59:41 CEST 2023    32.00
Fri Sep 29 13:59:41 CEST 2023    32.00
Fri Sep 29 13:59:42 CEST 2023    32.25
Fri Sep 29 13:59:42 CEST 2023    32.25
Fri Sep 29 13:59:42 CEST 2023    32.25
Fri Sep 29 13:59:42 CEST 2023    32.25
Fri Sep 29 13:59:43 CEST 2023    32.25
Fri Sep 29 13:59:43 CEST 2023    32.25
Fri Sep 29 13:59:43 CEST 2023    32.25
Fri Sep 29 13:59:43 CEST 2023    32.25
Fri Sep 29 13:59:44 CEST 2023    32.25
Fri Sep 29 13:59:44 CEST 2023    32.25
Fri Sep 29 13:59:44 CEST 2023    32.25
Fri Sep 29 13:59:44 CEST 2023    32.25
Fri Sep 29 13:59:44 CEST 2023    32.25
Fri Sep 29 13:59:45 CEST 2023    32.25
Fri Sep 29 13:59:45 CEST 2023    32.25
Fri Sep 29 13:59:45 CEST 2023    32.25
Fri Sep 29 13:59:45 CEST 2023    32.25
Fri Sep 29 13:59:46 CEST 2023    32.25
Fri Sep 29 13:59:46 CEST 2023    32.25
Fri Sep 29 13:59:46 CEST 2023    32.50
Fri Sep 29 13:59:46 CEST 2023    32.50
Fri Sep 29 13:59:47 CEST 2023    32.50
Fri Sep 29 13:59:47 CEST 2023    32.50
Fri Sep 29 13:59:47 CEST 2023    32.50
Fri Sep 29 13:59:47 CEST 2023    32.50
Fri Sep 29 13:59:48 CEST 2023    32.50
Fri Sep 29 13:59:48 CEST 2023    32.50
Fri Sep 29 13:59:48 CEST 2023    32.50
Fri Sep 29 13:59:48 CEST 2023    32.50
Fri Sep 29 13:59:49 CEST 2023    32.50
Fri Sep 29 13:59:49 CEST 2023    32.50
Fri Sep 29 13:59:49 CEST 2023    32.50
Fri Sep 29 13:59:49 CEST 2023    32.50
Fri Sep 29 13:59:49 CEST 2023    32.50
Fri Sep 29 13:59:50 CEST 2023    32.50
Fri Sep 29 13:59:50 CEST 2023    32.50
Fri Sep 29 13:59:50 CEST 2023    32.50
Fri Sep 29 13:59:50 CEST 2023    32.75
Fri Sep 29 13:59:51 CEST 2023    32.75
Fri Sep 29 13:59:51 CEST 2023    32.75
Fri Sep 29 13:59:51 CEST 2023    32.75
Fri Sep 29 13:59:51 CEST 2023    32.50
Fri Sep 29 13:59:52 CEST 2023    32.50
Fri Sep 29 13:59:52 CEST 2023    32.75
Fri Sep 29 13:59:52 CEST 2023    32.50
Fri Sep 29 13:59:52 CEST 2023    32.50
Fri Sep 29 13:59:53 CEST 2023    32.50
Fri Sep 29 13:59:53 CEST 2023    32.50
Fri Sep 29 13:59:53 CEST 2023    32.50
Fri Sep 29 13:59:53 CEST 2023    32.50
Fri Sep 29 13:59:54 CEST 2023    32.50
Fri Sep 29 13:59:54 CEST 2023    32.50
Fri Sep 29 13:59:54 CEST 2023    32.50
Fri Sep 29 13:59:54 CEST 2023    32.50
Fri Sep 29 13:59:54 CEST 2023    32.50
Fri Sep 29 13:59:55 CEST 2023    32.50
Fri Sep 29 13:59:55 CEST 2023    32.50
Fri Sep 29 13:59:55 CEST 2023    32.50
Fri Sep 29 13:59:55 CEST 2023    32.50
Fri Sep 29 13:59:56 CEST 2023    32.50
Fri Sep 29 13:59:56 CEST 2023    32.50
Fri Sep 29 13:59:56 CEST 2023    32.50
Fri Sep 29 13:59:56 CEST 2023    32.50
Fri Sep 29 13:59:57 CEST 2023    32.50
Fri Sep 29 13:59:57 CEST 2023    32.50
Fri Sep 29 13:59:57 CEST 2023    32.50
